Vote,Sector,Subprogram,Financial Year,Released Budget (UGX),Actual Expenditure (UGX),Source File
10,Agric,"Class: Outputs Provided
211101 General Staff Salaries
211103 Allowances
212102 Pension for General Civil Service
213001 Medical expenses (To employees)
213002 Incapacity, death benefits and funeral expenses
213004 Gratuity Expenses
221001 Advertising and Public Relations
221002 Workshops and Seminars
221003 Staff Training
221006 Commissions and related charges
221007 Books, Periodicals & Newspapers
221008 Computer supplies and Information Technology (IT)
221009 Welfare and Entertainment
221010 Special Meals and Drinks
221011 Printing, Stationery, Photocopying and Binding
221012 Small Office Equipment
221014 Bank Charges and other Bank related costs
221016 IFMS Recurrent costs
221017 Subscriptions
222001 Telecommunications
223004 Guard and Security services
223005 Electricity
223006 Water
223007 Other Utilities- (fuel, gas, firewood, charcoal)
224001 Medical and Agricultural supplies
224004 Cleaning and Sanitation
224005 Uniforms, Beddings and Protective Gear
227001 Travel inland
227002 Travel abroad
227004 Fuel, Lubricants and Oils",2016-17,10.23,10.26,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,"Programme 0855 Provision of Specialised Mental Health
Services",2016-17,12.04,12.07,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,0911 Butabika and health cente remodelling/construction,2016-17,1.81,1.81,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,"Class: Outputs Provided
085601 Inpatient services
085602 Outpatient services
085603 Medicines and health supplies procured and
dispensed
085604 Diagnostic services
085605 Hospital Management and support services
085606 Prevention and rehabilitation services
085607 Immunisation services",2016-17,4.99,5.56,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,"Class: Outputs Provided
085601 Inpatient services
085602 Outpatient services
085603 Medicines and health supplies procured and
dispensed
085604 Diagnostic services
085605 Hospital Management and support services
085606 Prevention and rehabilitation services
085607 Immunisation Services",2016-17,5.73,5.32,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,"Class: Outputs Provided
085601 Inpatient services
085602 Outpatient services
085603 Medicines and health supplies procured and
dispensed
085604 Diagnostic services
085605 Hospital Management and support services
085606 Prevention and rehabilitation services
085607 Immunisation Services",2016-17,4.99,5.02,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
10,Agric,"Class: Outputs Provided
211101 General Staff Salaries
211103 Allowances
212102 Pension for General Civil Service
213001 Medical expenses (To employees)
213002 Incapacity, death benefits and funeral expenses
213004 Gratuity Expenses
221001 Advertising and Public Relations
221002 Workshops and Seminars
221003 Staff Training
221007 Books, Periodicals & Newspapers
221008 Computer supplies and Information Technology (IT)
221009 Welfare and Entertainment
221010 Special Meals and Drinks
221011 Printing, Stationery, Photocopying and Binding
221012 Small Office Equipment
221017 Subscriptions
222001 Telecommunications
222002 Postage and Courier
223001 Property Expenses
223003 Rent – (Produced Assets) to private entities
223005 Electricity
223006 Water
223007 Other Utilities- (fuel, gas, firewood, charcoal)
224001 Medical and Agricultural supplies
224004 Cleaning and Sanitation
225001 Consultancy Services- Short term
227001 Travel inland
227004 Fuel, Lubricants and Oils
228001 Maintenance - Civil
228002 Maintenance - Vehicles
228003 Maintenance – Machinery, Equipment & Furniture
228004 Maintenance – Other",2016-17,4.99,5.02,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,"Class: Outputs Provided
085601 Inpatient services
085602 Outpatient services
085603 Medicines and health supplies procured and
dispensed
085604 Diagnostic services
085605 Hospital Management and support services
085606 Prevention and rehabilitation services
085607 Immunisation Services",2016-17,5.6,4.36,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
10,Agric,"Class: Outputs Provided
211101 General Staff Salaries
211103 Allowances
212102 Pension for General Civil Service
213001 Medical expenses (To employees)
213002 Incapacity, death benefits and funeral expenses
213004 Gratuity Expenses
221001 Advertising and Public Relations
221002 Workshops and Seminars
221003 Staff Training
221007 Books, Periodicals & Newspapers
221008 Computer supplies and Information Technology (IT)
221009 Welfare and Entertainment
221010 Special Meals and Drinks
221011 Printing, Stationery, Photocopying and Binding
221012 Small Office Equipment
221014 Bank Charges and other Bank related costs
221016 IFMS Recurrent costs
221020 IPPS Recurrent Costs
222001 Telecommunications
223004 Guard and Security services
223005 Electricity
223006 Water
223007 Other Utilities- (fuel, gas, firewood, charcoal)
224001 Medical and Agricultural supplies
224004 Cleaning and Sanitation
224005 Uniforms, Beddings and Protective Gear
225001 Consultancy Services- Short term
227001 Travel inland
227002 Travel abroad
227003 Carriage, Haulage, Freight and transport hire
227004 Fuel, Lubricants and Oils
228001 Maintenance - Civil
228002 Maintenance - Vehicles
228003 Maintenance – Machinery, Equipment & Furniture
228004 Maintenance – Other",2016-17,6.35,6.24,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,"Class: Outputs Provided
085601 Inpatient services
085602 Outpatient services
085603 Medicines and health supplies procured and
dispensed
085604 Diagnostic services
085605 Hospital Management and support services
085606 Prevention and rehabilitation services
085607 Immunisation Services",2016-17,4.34,4.25,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,"Class: Outputs Provided
085601 Inpatient services
085602 Outpatient services
085603 Medicines and health supplies procured and
dispensed
085604 Diagnostic services
085605 Hospital Management and support services
085606 Prevention and rehabilitation services
085607 Immunisation Services",2016-17,4.34,4.38,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,"Class: Outputs Provided
085601 Inpatient services
085602 Outpatient services
085603 Medicines and health supplies procured and
dispensed
085604 Diagnostic services
085605 Hospital Management and support services
085606 Prevention and rehabilitation services
085607 Immunisation Services",2016-17,4.19,4.2,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,"085603 Medicines and health supplies procured and
dispensed
085604 Diagnostic services
085605 Hospital Management and support services
085606 Prevention and rehabilitation services
085607 Immunisation Services",2016-17,0.03,0.11,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
10,Agric,"Class: Outputs Provided
211101 General Staff Salaries
211103 Allowances
212102 Pension for General Civil Service
213001 Medical expenses (To employees)
213002 Incapacity, death benefits and funeral expenses
213004 Gratuity Expenses
221001 Advertising and Public Relations
221002 Workshops and Seminars
221003 Staff Training
221007 Books, Periodicals & Newspapers
221008 Computer supplies and Information Technology (IT)
221009 Welfare and Entertainment
221010 Special Meals and Drinks
221011 Printing, Stationery, Photocopying and Binding
221012 Small Office Equipment
222001 Telecommunications
222002 Postage and Courier
223001 Property Expenses
223004 Guard and Security services
223005 Electricity
223006 Water
223007 Other Utilities- (fuel, gas, firewood, charcoal)
224001 Medical and Agricultural supplies
224004 Cleaning and Sanitation
224005 Uniforms, Beddings and Protective Gear
227001 Travel inland
227002 Travel abroad",2016-17,5.39,5.44,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,"085603 Medicines and health supplies procured and
dispensed
085604 Diagnostic services
085605 Hospital Management and support services
085606 Prevention and rehabilitation services
085607 Immunisation Services",2016-17,0.06,0.06,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
10,Agric,"Class: Outputs Provided
211101 General Staff Salaries
211103 Allowances
212102 Pension for General Civil Service
213001 Medical expenses (To employees)
213004 Gratuity Expenses
221001 Advertising and Public Relations
221002 Workshops and Seminars
221003 Staff Training
221007 Books, Periodicals & Newspapers
221008 Computer supplies and Information Technology (IT)
221009 Welfare and Entertainment
221010 Special Meals and Drinks
221011 Printing, Stationery, Photocopying and Binding
221012 Small Office Equipment
222001 Telecommunications
223001 Property Expenses
223005 Electricity
223006 Water
223007 Other Utilities- (fuel, gas, firewood, charcoal)
224001 Medical and Agricultural supplies
224004 Cleaning and Sanitation
227001 Travel inland
227002 Travel abroad
227004 Fuel, Lubricants and Oils
228001 Maintenance - Civil
228002 Maintenance - Vehicles",2016-17,4.43,4.62,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,"Class: Outputs Provided
085601 Inpatient services
085602 Outpatient services
085603 Medicines and health supplies procured and
dispensed
085604 Diagnostic services
085605 Hospital Management and support services
085606 Prevention and rehabilitation services
085607 Immunisation Services",2016-17,5.48,5.4,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,"01 Headquarters
02 Health Research Services
03 Internal Audit",2016-17,1.45,1.44,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,"Class: Outputs Provided
090101 Back up support for O & M of Rural Water
090102 Administration and Management services
090103 Promotion of sanitation and hygiene education
090104 Research and development of appropriate water and
sanitation technologies
090105 Monitoring and capacity building of LGs,NGOs and
CBOs",2016-17,17.82,8.3,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,"Class: Outputs Provided
095101 Integration of ENR Management at National and
Local Government levels
095102 Environmental compliance and enforcement of the
law, regulations and standards
095103 Acess to environmental information/education and
public participation increased
095104 The institutional capacity of NEMA and its partners
enhanced
095105 National, regional and international partnerships and
networking strengthened",2016-17,18.74,6.59,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
10,Agric,"Class: Outputs Provided
211101 General Staff Salaries
211102 Contract Staff Salaries (Incl. Casuals, Temporary)
211103 Allowances
212201 Social Security Contributions
213001 Medical expenses (To employees)
213002 Incapacity, death benefits and funeral expenses
213004 Gratuity Expenses
221001 Advertising and Public Relations
221002 Workshops and Seminars
221003 Staff Training
221004 Recruitment Expenses
221007 Books, Periodicals & Newspapers
221008 Computer supplies and Information Technology (IT)
221009 Welfare and Entertainment
221011 Printing, Stationery, Photocopying and Binding
221014 Bank Charges and other Bank related costs
221017 Subscriptions
222001 Telecommunications
222002 Postage and Courier
222003 Information and communications technology (ICT)
223004 Guard and Security services
223005 Electricity
223006 Water
223007 Other Utilities- (fuel, gas, firewood, charcoal)
223901 Rent – (Produced Assets) to other govt. units
224001 Medical and Agricultural supplies
224004 Cleaning and Sanitation
224006 Agricultural Supplies
225001 Consultancy Services- Short term
226001 Insurances
227001 Travel inland",2016-17,26.35,14.94,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,"06 Labour and Industrial Relations
07 Occupational Safety and Health
08 Industrial Court
15 Employment Services",2016-17,1.65,0.81,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,"01 Statutory
02 Legal Services and Investigations
03 Administration, Finance and Planning
04 Research, Monitoring and Evaluation
05 Education, Training, Information and Communications",2016-17,1.07,1.13,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,"Class: Outputs Provided
121201 Prevention of proliferation of illicit SALW.
121202 Enhanced public awareness and education on SALW
and CEWERU.
121203 Implementing Institutions strengthened.",2016-17,0.38,0.32,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,"Class: Outputs Provided
125302 Human rights education
125305 Administration and support services",2016-17,13.1,13.1,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,"1258 Recruitment, Discipline, Research &Civic Education",2016-17,3.37,3.37,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,"Programme 1258 Recruitment, Discipline, Research
&Civic Education",2016-17,3.37,3.37,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,"Programme 1258 Recruitment, Discipline, Research
&Civic Education",2016-17,3.37,3.37,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,"01 Finance and Administration
02 Education and Public Affairs
03 Planning, Research and Inspection
04 Internal Audit",2016-17,2.06,2.11,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
10,Agric,"Class: Outputs Provided
211101 General Staff Salaries
211103 Allowances
221001 Advertising and Public Relations
221002 Workshops and Seminars
221003 Staff Training
221007 Books, Periodicals & Newspapers
221009 Welfare and Entertainment
221011 Printing, Stationery, Photocopying and Binding
221012 Small Office Equipment
221016 IFMS Recurrent costs
221017 Subscriptions
222001 Telecommunications
223005 Electricity
223006 Water
224001 Medical and Agricultural supplies
224004 Cleaning and Sanitation
224005 Uniforms, Beddings and Protective Gear
225001 Consultancy Services- Short term
225002 Consultancy Services- Long-term
227001 Travel inland
227002 Travel abroad
227004 Fuel, Lubricants and Oils
228001 Maintenance - Civil",2016-17,2.19,2.19,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
10,Agric,"1236 Community Agric & Infrastructure Improvement
Project (CAIIP) III
1360 Markets and Agricultural Trade Improvements
Programme (MATIP 2)
1381 Restoration of Livelihoods in Nothern Region
(PRELNOR)
1416 Urban Markets and Marketing Development of
Agricultural Products (UMMDAP)",2016-17,53.29,53.29,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
10,Agric,"1087 CAIIP II
1236 Community Agric & Infrastructure Improvement
Project (CAIIP) III",2016-17,32.33,3.83,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
10,Agric,"Programme: 1317 Local Government Administration 0.00 121.88 121.80 12,188.4% 12,179.8% 99.9%
and Development
Development Projects.
1236 Community Agric & Infrastructure Improvement 0.00 53.29 53.29 5,328.7% 5,328.7% 100.0%
Project (CAIIP) III
1360 Markets and Agricultural Trade Improvements 0.00 1.67 1.67 166.7% 166.7% 100.0%
Programme (MATIP 2)
1381 Restoration of Livelihoods in Nothern Region 0.00 54.62 54.54 5,462.5% 5,453.9% 99.8%
(PRELNOR)
1416 Urban Markets and Marketing Development of 0.00 12.31 12.31 1,230.5% 1,230.5% 100.0%
Agricultural Products (UMMDAP)",2016-17,121.88,121.8,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
10,Agric,"Programme: 1321 District Administration and 193.24 4.68 3.97 2.4% 2.1% 84.8%
Development
Development Projects.
1087 CAIIP II 30.31 1.75 1.40 5.8% 4.6% 80.1%
1236 Community Agric & Infrastructure Improvement 37.25 0.72 0.75 1.9% 2.0% 104.0%
Project (CAIIP) III",2016-17,193.24,4.68,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,"Class: Outputs Provided
145101 Administration & Support services
145102 Investigations/operations
145103 Prosecutions & Civil Litigation
145104 Education and Public Awareness
145105 Decentralised Anti - corruption programmes
145106 Verification of Leaders' Declarations
145107 Ombudsman Complaints, Policy and Systems
Studies",2016-17,42.2,42.87,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,"Class: Outputs Provided
145201 Formulation and monitoring of Policies, laws and
strategies
145202 Public education and awareness
145204 National Anti Corruption Strategy Coordinated
145205 DEI Support Services",2016-17,5.31,4.24,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,"Class: Outputs Provided
145401 Customs Tax Collection
145402 Domestic Tax Collection
145403 Tax Investigations
145404 Internal Audit and Compliance
145405 URA Legal and Administrative Support Services
145406 Public Awareness and Tax Education/Modernization",2016-17,220.52,220.52,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
10,Agric,"Class: Outputs Provided
145501 Economic statistical indicators
145502 Population and Social Statistics indicators
145503 Industrial and Agricultural indicators
145504 District Statistics and Capacity Building
145505 National statistical system database maintained
145506 Statistical Coordination and Administrative Support
Services",2016-17,49.37,45.97,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
10,Agriculture,"01 Population and Social Statistics
02 Macro economic statistics
03 Business and Industry Statistics
04 Statistical Coordination Services
05 District Statistics and Capacity Building
06 Information Technology Services
07 Administrative Services
08 Communication and Public Relations
09 Financial Services
10 Internal Audit Services
11 Social Economic Surveys
12 Agriculture and Environmental Statistics
13 Geo - Information Services",2016-17,2.63,2.5,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
10,Agric,"01 Population and Social Statistics
02 Macro economic statistics
03 Business and Industry Statistics
04 Statistical Coordination Services
05 District Statistics and Capacity Building
06 Information Technology Services
07 Administrative Services
08 Communication and Public Relations
09 Financial Services
10 Internal Audit Services
11 Social Economic Surveys
12 Agriculture and Environmental Statistics
13 Geo - Information Services",2016-17,2.63,2.5,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
14,Health,"01 Headquarters
02 Support to Vice President
04 Internal Audit
05 Medicines and Health Services Delivery Monitoring",2016-17,232.24,269.2,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
13,Education,"Class: Outputs Provided
162101 Cooperation frameworks
162102 Promotion of trade, tourism, education, and
investment
162103 Peace and Security
162104 Special Summits and Conferences
162105 UN Security Council Support
162106 Northern Corridor Intergration Projects Coordination",2016-17,3.82,3.92,ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf
